"","Cell","Cell_type"
"C_417","C_417","T cell"
"C_369","C_369","Monocyte"
"C_265","C_265","Monocyte"
"C_450","C_450","B cell"
"C_440","C_440","Monocyte"
"C_347","C_347","Monocyte"
"C_463","C_463","B cell"
"C_429","C_429","Monocyte"
"C_442","C_442","Monocyte"
"C_430","C_430","T cell"
"C_436","C_436","Monocyte"
"C_372","C_372","T cell"
"C_441","C_441","Monocyte"
"C_139","C_139","Monocyte"
"C_375","C_375","Monocyte"
"C_78","C_78","Monocyte"
"C_461","C_461","Monocyte"
"C_294","C_294","B cell"
"C_119","C_119","Monocyte"
"C_260","C_260","Monocyte"
"C_266","C_266","T cell"
"C_298","C_298","Monocyte"
"C_348","C_348","B cell"
"C_409","C_409","Monocyte"
"C_432","C_432","Monocyte"
"C_241","C_241","Monocyte"
"C_280","C_280","Monocyte"
"C_306","C_306","T cell"
"C_134","C_134","Monocyte"
"C_219","C_219","Dendritic cell"
"C_251","C_251","T cell"
"C_490","C_490","Monocyte"
"C_391","C_391","Monocyte"
"C_161","C_161","Monocyte"
"C_179","C_179","T cell"
"C_41","C_41","Dendritic cell"
"C_147","C_147","B cell"
"C_20","C_20","Monocyte"
"C_7","C_7","T cell"
"C_386","C_386","T cell"
"C_197","C_197","T cell"
"C_62","C_62","Monocyte"
"C_141","C_141","Monocyte"
"C_335","C_335","Dendritic cell"
"C_445","C_445","Monocyte"
"C_88","C_88","Monocyte"
"C_14","C_14","T cell"
"C_307","C_307","Monocyte"
"C_36","C_36","Monocyte"
"C_427","C_427","T cell"
"C_431","C_431","Monocyte"
"C_311","C_311","T cell"
"C_459","C_459","Monocyte"
"C_318","C_318","T cell"
"C_170","C_170","T cell"
"C_137","C_137","Monocyte"
"C_87","C_87","Monocyte"
"C_258","C_258","Monocyte"
"C_278","C_278","Monocyte"
"C_428","C_428","T cell"
"C_206","C_206","T cell"
"C_455","C_455","Monocyte"
"C_410","C_410","B cell"
"C_174","C_174","Monocyte"
"C_443","C_443","B cell"
"C_132","C_132","Monocyte"
"C_415","C_415","Monocyte"
"C_358","C_358","B cell"
"C_402","C_402","Monocyte"
"C_466","C_466","Monocyte"
"C_259","C_259","Monocyte"
"C_467","C_467","Monocyte"
"C_312","C_312","T cell"
"C_420","C_420","Dendritic cell"
"C_173","C_173","T cell"
"C_287","C_287","T cell"
"C_246","C_246","T cell"
"C_299","C_299","T cell"
"C_252","C_252","Monocyte"
"C_146","C_146","Monocyte"
"C_145","C_145","Monocyte"
"C_424","C_424","T cell"
"C_138","C_138","Monocyte"
"C_481","C_481","T cell"
"C_53","C_53","B cell"
"C_272","C_272","Monocyte"
"C_495","C_495","T cell"
"C_342","C_342","Monocyte"
"C_124","C_124","Monocyte"
"C_13","C_13","T cell"
"C_302","C_302","Monocyte"
"C_489","C_489","Monocyte"
"C_33","C_33","Monocyte"
"C_180","C_180","Monocyte"
"C_76","C_76","B cell"
"C_267","C_267","T cell"
"C_220","C_220","Monocyte"
"C_71","C_71","Monocyte"
"C_189","C_189","Monocyte"
"C_200","C_200","Monocyte"
"C_38","C_38","Monocyte"
"C_395","C_395","Monocyte"
"C_11","C_11","B cell"
"C_135","C_135","Monocyte"
"C_321","C_321","Monocyte"
"C_234","C_234","T cell"
"C_343","C_343","B cell"
"C_477","C_477","Monocyte"
"C_412","C_412","Monocyte"
"C_199","C_199","Monocyte"
"C_144","C_144","T cell"
"C_167","C_167","Monocyte"
"C_426","C_426","Monocyte"
"C_177","C_177","B cell"
"C_491","C_491","Monocyte"
"C_57","C_57","Monocyte"
"C_286","C_286","Monocyte"
"C_355","C_355","T cell"
"C_40","C_40","Monocyte"
"C_478","C_478","Monocyte"
"C_476","C_476","B cell"
"C_296","C_296","Monocyte"
"C_102","C_102","T cell"
"C_210","C_210","Monocyte"
"C_156","C_156","Monocyte"
"C_110","C_110","B cell"
"C_451","C_451","Monocyte"
"C_458","C_458","T cell"
"C_153","C_153","T cell"
"C_328","C_328","Dendritic cell"
"C_360","C_360","Monocyte"
"C_47","C_47","Monocyte"
"C_169","C_169","B cell"
"C_393","C_393","Monocyte"
"C_227","C_227","Monocyte"
"C_237","C_237","Monocyte"
"C_498","C_498","Monocyte"
"C_149","C_149","Monocyte"
"C_233","C_233","Monocyte"
"C_261","C_261","Monocyte"
"C_472","C_472","Monocyte"
"C_231","C_231","Monocyte"
"C_413","C_413","Monocyte"
"C_75","C_75","T cell"
"C_325","C_325","Monocyte"
"C_30","C_30","Monocyte"
"C_354","C_354","T cell"
"C_171","C_171","B cell"
"C_309","C_309","Monocyte"
"C_301","C_301","T cell"
"C_85","C_85","Monocyte"
"C_406","C_406","Monocyte"
"C_482","C_482","Monocyte"
"C_408","C_408","B cell"
"C_319","C_319","Monocyte"
"C_317","C_317","Monocyte"
"C_203","C_203","Monocyte"
"C_290","C_290","Monocyte"
"C_123","C_123","Monocyte"
